Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,224.58999633789062,232.44000244140625,223.5,231.91000366210938,231.91000366210938,18223800
2020-06-02,230.94000244140625,233.0,226.55999755859375,232.72000122070312,232.72000122070312,20919000
2020-06-03,232.11000061035156,232.64999389648438,228.52999877929688,230.16000366210938,230.16000366210938,15380300
2020-06-04,229.55999755859375,231.6300048828125,224.61000061035156,226.2899932861328,226.2899932861328,17041500
2020-06-05,226.7100067138672,231.35000610351562,225.30999755859375,230.77000427246094,230.77000427246094,16750400
2020-06-08,229.02999877929688,231.5500030517578,227.41000366210938,231.39999389648438,231.39999389648438,15466500
2020-06-09,231.52000427246094,239.77000427246094,230.41000366210938,238.6699981689453,238.6699981689453,27462900
2020-06-10,240.9600067138672,241.2100067138672,235.27999877929688,236.72999572753906,236.72999572753906,20720700
2020-06-11,229.94000244140625,232.88999938964844,223.5500030517578,224.42999267578125,224.42999267578125,26708200
2020-06-12,229.89999389648438,231.66000366210938,224.5,228.5800018310547,228.5800018310547,22071700
2020-06-15,225.08999633789062,233.77000427246094,224.8000030517578,232.5,232.5,15340300
2020-06-16,237.13999938964844,238.4600067138672,233.0,235.64999389648438,235.64999389648438,15236700
2020-06-17,235.0,237.58999633789062,231.72999572753906,235.52999877929688,235.52999877929688,19552800
2020-06-18,234.99000549316406,236.13999938964844,232.14999389648438,235.94000244140625,235.94000244140625,15782500
2020-06-19,237.7899932861328,240.8300018310547,235.5500030517578,238.7899932861328,238.7899932861328,30081300
2020-06-22,238.55999755859375,240.6999969482422,236.91000366210938,239.22000122070312,239.22000122070312,18917800
2020-06-23,241.27999877929688,245.19000244140625,239.86000061035156,242.24000549316406,242.24000549316406,24017900
2020-06-24,241.1999969482422,243.22000122070312,232.67999267578125,234.02000427246094,234.02000427246094,20834900
2020-06-25,234.6199951171875,237.3000030517578,232.74000549316406,235.67999267578125,235.67999267578125,18704300
2020-06-26,232.63999938964844,233.08999633789062,215.39999389648438,216.0800018310547,216.0800018310547,76343900
2020-06-29,209.75,220.75,207.11000061035156,220.63999938964844,220.63999938964844,58514300
